,user_id,adopted_user,object_id,creation_time,name,email,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,creation_time_utc,creation_time_unix,creation_delta,lifespan_delta,last_login_delta
0,2.0,1.0,2,2013-11-15 03:45:04,Poole Matthew,MatthewPoole@gustr.com,ORG_INVITE,1396237504.0,0,0,1,316.0,2013-11-15 03:45:04+00:00,1384487104,11750400.0,252856022,241105634.0
1,10.0,1.0,10,2013-01-16 22:08:03,Santos Carla,CarlaFerreiraSantos@gustr.com,ORG_INVITE,1401833283.0,1,1,318,4143.0,2013-01-16 22:08:03+00:00,1358374083,43459200.0,278969043,235509855.0
2,33.0,1.0,33,2014-03-11 06:29:09,Araujo Jos�,JoseMartinsAraujo@cuvox.de,GUEST_INVITE,1401517749.0,0,0,401,79.0,2014-03-11 06:29:09+00:00,1394519349,6998400.0,242823777,235825389.0
3,42.0,1.0,42,2012-11-11 19:05:07,Pinto Giovanna,GiovannaCunhaPinto@cuvox.de,SIGNUP,1401044707.0,1,0,235,,2012-11-11 19:05:07+00:00,1352660707,48384000.0,284682419,236298431.0
4,50.0,1.0,50,2012-06-03 11:02:08,Oliveira Gabrielly,GabriellyAlmeidaOliveira@gmail.com,GUEST_INVITE,1350990128.0,0,0,61,50.0,2012-06-03 11:02:08+00:00,1338721328,12268800.0,298621798,286353010.0
5,53.0,1.0,53,2013-02-09 23:47:15,Ribeiro Camila,CamilaGomesRibeiro@gmail.com,GUEST_INVITE,1367797635.0,0,0,37,3641.0,2013-02-09 23:47:15+00:00,1360453635,7344000.0,276889491,269545503.0
6,60.0,1.0,60,2014-03-21 22:56:03,McEacharn Archie,ArchieMcEacharn@gmail.com,ORG_INVITE,1400194563.0,0,0,88,3463.0,2014-03-21 22:56:03+00:00,1395442563,4752000.0,241900563,237148575.0
7,63.0,1.0,63,2012-12-20 16:30:52,Martins Leonor,LeonorAraujoMartins@gmail.com,SIGNUP_GOOGLE_AUTH,1401899452.0,0,0,203,,2012-12-20 16:30:52+00:00,1356021052,45878400.0,281322074,235443686.0
8,69.0,1.0,69,2012-06-29 10:15:18,Bowen Alisha,AlishaBowen@gustr.com,GUEST_INVITE,1401444918.0,0,0,107,5022.0,2012-06-29 10:15:18+00:00,1340964918,60480000.0,296378208,235898220.0
9,74.0,1.0,74,2013-01-14 00:02:41,Farrell Jack,JackFarrell@gmail.com,SIGNUP_GOOGLE_AUTH,1377302561.0,0,0,89,,2013-01-14 00:02:41+00:00,1358121761,19180800.0,279221365,260040577.0
10,80.0,1.0,80,2014-02-28 21:30:38,Silva Samuel,SamuelBarbosaSilva@jourrapide.com,ORG_INVITE,1399239038.0,1,1,49,238.0,2014-02-28 21:30:38+00:00,1393623038,5616000.0,243720088,238104100.0
11,81.0,1.0,81,2013-06-26 03:57:41,Cardoso Rafael,RafaelCostaCardoso@yahoo.com,PERSONAL_PROJECTS,1401249461.0,1,0,185,,2013-06-26 03:57:41+00:00,1372219061,29030400.0,265124065,236093677.0
12,82.0,1.0,82,2013-02-12 02:10:40,Nygaard Nicklas,NicklasJNygaard@gmail.com,GUEST_INVITE,1401847840.0,0,0,91,3732.0,2013-02-12 02:10:40+00:00,1360635040,41212800.0,276708086,235495298.0
13,87.0,1.0,87,2013-09-11 22:53:29,Martins Isabela,IsabelaAzevedoMartins@jourrapide.com,SIGNUP,1400799209.0,1,0,26,,2013-09-11 22:53:29+00:00,1378940009,21859200.0,258403117,236543929.0
14,133.0,1.0,133,2013-09-12 12:39:43,Melo Matilde,MatildeFernandesMelo@gmail.com,SIGNUP,1400416783.0,0,0,249,,2013-09-12 12:39:43+00:00,1378989583,21427200.0,258353543,236926355.0
15,135.0,1.0,135,2014-01-23 02:23:23,Skov Natasja,tbzuznte@mxecy.com,ORG_INVITE,1401675803.0,0,0,313,6271.0,2014-01-23 02:23:23+00:00,1390443803,11232000.0,246899323,235667335.0
